id,shop_id,menu_category_id,name,kitchen_name,slug,description,hero_image_path,from_price_minor,sort_order,is_active,allergy_note,dietary_slugs,options_payload
,3,5,"SOUPE MISO WAKAME","SP MISO WKM",soupe-miso-wakame,"Soupe miso traditionnelle japonaise aux algues wakame tendres, chaude et réconfortante. Bouillon parfumé et umami, riche en saveurs authentiques, idéale en entrée pour ouvrir l'appétit et préparer les papilles à un vrai voyage culinaire japonais.",01KK8VGGN684ETHFB4TZ3DFKM1.jpg,8000,1,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"GYOZA GRILLÉS","GYZ GRILLES",gyoza-grilles,"Raviolis japonais dorés à la poêle, garnis d'un mélange savoureux de poulet, bœuf et légumes frais. Servis avec notre sauce maison, ils offrent une texture croustillante dehors et fondante dedans. Un incontournable à partager.",01KK3GMXA6NJKJYBH8W8SD2Y0A.jpg,12000,2,1,,,"{""rules"":{""style_required"":true},""styles"":[{""id"":""4-pieces"",""name"":""4 pièces"",""price_minor"":12000},{""id"":""8-pieces"",""name"":""8 pièces"",""price_minor"":24000},{""id"":""12-pieces"",""name"":""12 pièces"",""price_minor"":36000}],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"CROQUETTES (2 PIÈCES)",CROQ,croquettes-2-pieces,"Deux croquettes japonaises croustillantes à l'extérieur, moelleuses à l'intérieur, nappées d'une sauce teriyaki sucrée-salée faite maison. Une entrée réconfortante qui séduit dès la première bouchée, parfaite pour un vrai moment de plaisir.",01KK3GP513VA09MRGYQ6MDTNXB.jpg,8000,3,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"PAIKO POULET FRIT","PAIKO POUL",paiko-poulet-frit,"Poulet mariné puis frit à la japonaise, croustillant à souhait et nappé d'une sauce japonaise maison aux arômes délicats. Un plat généreux et parfumé qui ravit les amateurs de saveurs asiatiques authentiques et gourmandes.",paikopoule.jpg,19000,4,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000},{""id"":""fromage"",""name"":""Fromage"",""price_delta_minor"":2000}]}"
,3,5,"CANARD ROSÉ SAUCE TERIYAKI","CNRD ROSE",canard-rose-sauce-teriyaki,"Magret de canard grillé (60g) cuit rosé, nappé d'une sauce teriyaki brillante et sucrée-salée. Une entrée raffinée qui marie la tendreté du canard à la richesse umami typiquement japonaise. Une expérience culinaire inoubliable.",01KK3GQ609G1KG0RG7A813BRZW.jpg,19000,5,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"SARDINES MARINÉES NIKKEI","SRDN NKK",sardines-marinees-nikkei,"Sardines marinées à la japonaise selon la tradition Nikkei, nappées d'une sauce délicate aux arômes umami. Une entrée iodée, fraîche et parfumée qui éveille les papilles et invite à un vrai voyage gustatif inoubliable.",01KK3GVA66EQYZER47R69S9Y8V.jpg,14000,6,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"WAKAME ZESTÉ","WKM ZESTE",wakame-zeste,"Salade d'algues wakame fraîches accompagnée de légumes croquants, sublimée d'une huile de sésame parfumée et d'un zeste de citron vif. Une entrée légère, iodée et vitaminée, pour un pur moment de fraîcheur 100% japonaise.",wakamezest.jpg,12000,7,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"HARUSAME & KIKURAGE","HARU KKRG",harusame-kikurage,"Vermicelles de soja translucides mariés à des champignons noirs croquants, relevés d'une vinaigrette japonaise parfumée. Un plat léger, rafraîchissant et texturé, aux notes umami subtiles qui éveillent agréablement les papilles dès la première bouchée.",01KK3GR0YKG7HKK7B2WACCM1M3.jpg,14000,8,1,,,"{""rules"":{""style_required"":false},""styles"":[],""toppings"":[{""id"":""spicy"",""name"":""Spicy"",""price_delta_minor"":1000}]}"
,3,5,"TOFU CAPRESE (AU NORI)","TOFU CAPR",tofu-caprese-au-nori,"Version japonaise du caprese italien : tofu mariné, tomate juteuse, roquette fraîche et nori croustillant. Une fusion créative qui marie douceur, umami et fraîcheur dans une entrée originale, saine et pleine de caractère.",01KK3GTDPN9GE0AJW1RPRVWB5N.jpg,12000,9,1,,,
,3,4,"DONBURI TOFU VEGGIE (VEGETARIAN TOFU BOWL)","DNB TOFU VEG",donburi-tofu-veggie-vegetarian-tofu-bowl,"Bol généreux de riz japonais garni de tofu mariné, wakame et nori. 100% végétarien, frais et équilibré, ce donburi révèle les saveurs umami du Japon dans une version légère, saine et pleine de vitalité.",01KK3GJ3F8H89J84PDH0CDESAY.jpg,31000,10,1,,,
